,original,name,price,link,image,contact,ownerName,city,district,unit,standardPrice
894,spinach,Fresh Spinach,,saikripa-associates-ambala/fresh-vegetables.html,https://5.imimg.com/data5/SN/HD/MY-9203007/fresh-spinach-125x125.jpg,8043839294,Sai Kripa Associates,Ambala,,Kilogram,
895,spinach,Saurabh Spinach,,jindal-crop-science/vegetable-seeds.html,https://5.imimg.com/data5/QU/PV/GLADMIN-723039/saurabh-spinach-125x125.png,8043870605,Jindal Crop Science Private Limited,Jalna,,,
896,tomato,Maharashtra Hybrid Fresh Tomato,12,maatarafruitscompany/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2023/1/MM/RH/RC/45117192/hybrid-fresh-tomato-125x125.jpg,8048987287,Maa Tara Fruits Company,Shimla,,Kg,12/Kg
897,tomato,Maharashtra Hybrid Fresh Tomato,20,sapphire-agro-tech/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/11/GG/MA/MR/135721374/whatsapp-image-2022-11-10-at-1-25-18-pm-125x125.jpg,8047548657,Sapphire Agro Tech,Pune,,Kg,20/Kg
898,tomato,Maharashtra Indian Fresh Red Tomato,50,maza-ind/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/10/OS/ZO/DB/56889112/fresh-tomato-125x125.jpg,8043890742,Maza Ind,Himatnagar,Sabarkantha,Kg,50/Kg
899,tomato,Maharashtra Hybrid Tomato,7,anvishaenterprises/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/12/HV/SI/IY/36461673/tomato-125x125.jpeg,8045908342,Anvisha Enterprises,Nashik,,Kg,7/Kg
900,tomato,Hybrid Fresh Tomato,20,adinathglobalexports/fresh-cabbage.html,https://3.imimg.com/data3/LB/JO/MY-3164894/227-large-125x125.jpg,7942558343,Adinath Trading Company ( Atc ),New Delhi,,Kg,20/Kg
901,tomato,Tomato,10,maatitatvaagroindustries/vegetables-seeds.html,https://5.imimg.com/data5/ANDROID/Default/2023/1/BH/DC/BC/86539219/product-jpeg-125x125.jpg,8048989407,Maatitatva Agro Industries Private Limited,Indore,,Kg,10/Kg
902,tomato,Tomato,20,nagaexports/fresh-vegetables.html,https://5.imimg.com/data5/NP/MP/MY-3966004/tomato-125x125.jpg,8048604888,Kesco Organics Exports,Coimbatore,,kilogram,20/kilogram
903,tomato,"A Grade Fresh Red Cherry Tomato, Packaging Type: Wood Box",60,agrilane-private-limited/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/10/FA/WG/CD/159824908/fresh-red-cherry-tomato-125x125.jpg,8047547241,Agrilane Private Limited,Thane,,Kg,60/Kg
904,tomato,Maharashtra Indian Fresh Tomato,10,dasaoverseas/fresh-vegetable.html,https://5.imimg.com/data5/ANDROID/Default/2021/6/CL/DJ/NC/22048668/product-jpeg-125x125.jpg,8047640863,Dasa Overseas,Pune,,Kg,10/Kg
905,tomato,Maharashtra Hybrid Tomato,10,onionexportcompany/fresh-tomato.html,https://5.imimg.com/data5/SELLER/Default/2021/11/EG/XN/XJ/29832167/tomato-125x125.jpg,8046079194,Onion Export Company,Yeola,Nashik,Kg,10/Kg
906,tomato,Indian B Grade Red Organic Fresh Tomato,17,sb-agroexports/fresh-tomato.html,https://5.imimg.com/data5/SELLER/Default/2021/8/MY/QL/QO/134643013/b-grade-red-organic-fresh-tomato-125x125.jpg,8048970300,S B AGRO EXPORTS,Nashik,,Kg,17/Kg
907,tomato,Tomato,20,the-capricorn/a-grade-fresh-tomato.html,https://5.imimg.com/data5/ANDROID/Default/2022/9/CX/TZ/IN/18118948/product-jpeg-125x125.jpg,8047633448,The Capricorn,Hooghly,,Kg,20/Kg
908,tomato,Tomato,20,orionfoodmumbai/fresh-vegetables.html,https://5.imimg.com/data5/AF/RQ/MY-8642588/tomatoplant-125x125.jpg,8046075202,Orion Food,Mumbai,,Kg,20/Kg
909,tomato,Hybrid Sanmarzano tamotes,150,overseasgreens-blr/hybrid-tomato.html,https://5.imimg.com/data5/ANDROID/Default/2022/8/IX/CU/WM/143320329/product-jpeg-125x125.jpg,8047623402,Overseasgreens BLR Private Limited,Bengaluru,,Kg,150/Kg
910,tomato,"B Grade Red Fresh Tomato, Gunny Bag, 5 Kg",30,halimaspicefood/fresh-vegetables.html,https://5.imimg.com/data5/LY/HC/RR/SELLER-100814369/fresh-tomato-125x125.jpg,7942535295,Halima Spice And Food (opc) Private Limited,Ahmedabad,,Kg,30/Kg
911,tomato,Indian Fresh Tomato,,bhutatvaagro/fresh-garlic-onion-fruits.html,https://5.imimg.com/data5/ANDROID/Default/2022/9/BI/EK/QP/152143624/product-jpeg-125x125.jpg,8047648855,Bhu Tatva Agro,Indore,,Carton,
912,tomato,PHS sunny Tomato seeds,,kisansuvidhakendrarajendragram/hybrid-tomato.html,https://5.imimg.com/data5/ANDROID/Default/2022/12/UT/GD/OG/98566965/product-jpeg-125x125.jpg,8047306893,Kisan Suvidha Kendra Rajendragram,Anuppur,,,
913,tomato,Tomato,25,mahitoys-enterprises/,https://5.imimg.com/data5/ANDROID/Default/2022/12/MI/GJ/PP/7349419/product-jpeg-125x125.jpg,7942803302,Mahi Toys & Private Enterprises  Industrials Company Limited,Hyderabad,,Kg,25/Kg
914,tomato,Santa grip,,a-label-gallery/agriculture.html,https://5.imimg.com/data5/SELLER/Default/2023/2/RL/EB/AV/66715201/santa-grip-125x125.jpeg,7942797697,A Labelgallery,Delhi,,,
915,tomato,"Tomato, Packaging Type: Bag, Packaging Size: Available 5,10kg",30,behare-exports/red-tomato.html,https://5.imimg.com/data5/GS/IK/RN/SELLER-66008266/organic-red-tomato-125x125.jpg,7942555412,Behare Exports Private Limited,Gadchiroli,,Kilogram,30/Kilogram
916,tomato,"A Grade Red Fresh Tomato, Gunny Bag, 50Kg",10,dewarkagroforest/fresh-tomato.html,https://5.imimg.com/data5/SG/GC/CZ/SELLER-13249998/fresh-tomato-125x125.jpg,8046042477,Dewark Agro Forest Private Limited,Gaya,,Kg,10/Kg
